Task,Model,Split,BLEU,ROUGE,METEOR,BERT,f1,precision,accuracy,recall,confusion_matrix
SCRIPT_CONTIN -> STATE_2,BiLSTM,VAL,0.552077571,0.747734953,0.741693228,0.953793943,0.948205073,0.948031078,0.948495062,0.948495062,"[[167552, 4943], [6380, 40968]]"
SCRIPT_CONTIN -> STATE_2,BiLSTM,TEST,0.550459864,0.746569385,0.74094482,0.954254508,0.946927067,0.946746029,0.947225553,0.947225553,"[[168196, 5104], [6561, 41174]]"
SCRIPT_CONTIN -> STATE_2,RNN,VAL,0.297595688,0.576076286,0.547565533,0.923185408,0.908990259,0.909302991,0.911841632,0.911841632,"[[166552, 5943], [13438, 33910]]"
SCRIPT_CONTIN -> STATE_2,RNN,TEST,0.288508276,0.568558682,0.540994461,0.92253089,0.906997494,0.907254744,0.909914719,0.909914719,"[[167130, 6170], [13742, 33993]]"
SCRIPT_CONTIN -> STATE_2,CNN,VAL,0.218297347,0.506826004,0.476380514,0.913109779,0.896287398,0.896843414,0.900256092,0.900256092,"[[166030, 6465], [15463, 31885]]"
SCRIPT_CONTIN -> STATE_2,CNN,TEST,0.213570286,0.50032308,0.471545307,0.912226439,0.893927998,0.89427974,0.897889475,0.897889475,"[[166456, 6844], [15726, 32009]]"
SCRIPT_CONTIN -> STATE_2,GRU,VAL,0.349872862,0.614421676,0.595586914,0.930614471,0.918173549,0.917853335,0.91976092,0.91976092,"[[166072, 6423], [11216, 36131]]"
SCRIPT_CONTIN -> STATE_2,GRU,TEST,0.34725454,0.610700172,0.592036192,0.930471778,0.91637698,0.916062801,0.918067274,0.918067274,"[[166760, 6540], [11569, 36165]]"
SCRIPT_CONTIN -> STATE_2,HRF,VAL,0.625833196,0.800168855,0.805970464,0.964173555,0.959351348,0.959529046,0.95921635,0.95921635,"[[167574, 4921], [4045, 43303]]"
SCRIPT_CONTIN -> STATE_2,HRF,TEST,0.614441642,0.794125601,0.801603174,0.963119745,0.958153039,0.958418083,0.957965933,0.957965933,"[[168057, 5243], [4048, 43687]]"
SCRIPT_CONTIN -> STATE_2,CRF,VAL,0.169789926,0.428202132,0.410984316,0.899292052,0.861938973,0.860275156,0.865413045,0.865413045,"[[160759, 11736], [17852, 29496]]"
SCRIPT_CONTIN -> STATE_2,CRF,TEST,0.161727659,0.422877678,0.406433496,0.898228049,0.858705306,0.856957167,0.862171149,0.862171149,"[[161081, 12219], [18246, 29489]]"
SCRIPT_CONTIN -> STATE_4,BiLSTM,VAL,0.563148774,0.744513162,0.751343339,0.938557506,0.907045535,0.906975203,0.908084406,0.908084406,"[[737, 466, 255, 429], [177, 39492, 5168, 624], [66, 3685, 119599, 3684], [76, 723, 4854, 39808]]"
SCRIPT_CONTIN -> STATE_4,BiLSTM,TEST,0.561449375,0.74492722,0.751924776,0.939247012,0.90572559,0.905635288,0.906734228,0.906734228,"[[709, 476, 211, 429], [150, 39843, 5253, 664], [95, 3749, 119766, 3780], [73, 748, 4987, 40102]]"
SCRIPT_CONTIN -> STATE_4,RNN,VAL,0.259191596,0.522801626,0.54410975,0.888297498,0.799543661,0.799836662,0.804351287,0.804351287,"[[68, 1261, 369, 189], [53, 35084, 8491, 1833], [1, 6855, 111465, 8713], [7, 1951, 13289, 30214]]"
SCRIPT_CONTIN -> STATE_4,RNN,TEST,0.254034547,0.514668852,0.537221649,0.887393713,0.795363382,0.795741156,0.800244305,0.800244305,"[[49, 1270, 328, 178], [33, 35204, 8727, 1946], [7, 7223, 111398, 8762], [4, 2008, 13667, 30231]]"
SCRIPT_CONTIN -> STATE_4,CNN,VAL,0.245023199,0.512319779,0.533939302,0.880949378,0.803043286,0.804204743,0.807699131,0.807699131,"[[239, 621, 684, 343], [109, 32015, 11562, 1775], [76, 6764, 113511, 6683], [19, 1332, 12308, 31802]]"
SCRIPT_CONTIN -> STATE_4,CNN,TEST,0.23670981,0.507308922,0.528999215,0.880507052,0.799006786,0.799665191,0.80360124,0.80360124,"[[220, 627, 606, 372], [116, 32034, 11802, 1958], [108, 6916, 113405, 6961], [21, 1414, 12510, 31965]]"
SCRIPT_CONTIN -> STATE_4,GRU,VAL,0.312070037,0.569790878,0.591874428,0.89924252,0.821924168,0.822071417,0.826098625,0.826098625,"[[142, 1218, 350, 177], [102, 36226, 7527, 1606], [16, 5794, 113506, 7718], [9, 1396, 12318, 31738]]"
